onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
64.612	0.075	SACC	101.5	-24.4	-114.9	-68.2	220.783	883.163	883.163	883.163
64.688	0.083	FIXA	-121.4	-68.4	-97.8	-61.5	24.606	942.331	326.356	414.331
65.275	0.029	SACC	2068.1	-200.5	2018.9	-197.7	49.272	688.061	688.061	688.061
65.304	0.442	FIXA	2012.6	-198.3	2009.0	-177.1	21.412	964.950	787.472	713.423
65.746	0.117	SACC	2012.3	-176.1	691.0	-214.3	1321.814	832.920	663.500	669.550
65.862	0.321	FIXA	686.3	-213.6	669.7	-100.4	114.457	967.459	831.381	683.072
66.183	0.087	SACC	667.0	-100.8	156.4	-56.3	512.517	674.908	674.908	674.908
66.271	0.038	FIXA	149.1	-58.1	175.7	-88.2	40.105	685.800	685.800	684.496
66.804	0.317	FIXA	-52.2	-62.2	-92.9	-57.1	22.697	809.475	209.276	260.208
67.121	0.033	SACC	-90.3	-58.5	-47.3	-90.5	53.563	703.323	703.323	703.323
67.154	2.108	FIXA	-39.7	-95.1	7.0	-47.0	67.081	996.415	217.013	311.410
69.263	0.100	SACC	11.1	-47.8	-642.4	-160.5	663.139	999.250	433.993	464.154
69.362	0.117	FIXA	-650.2	-161.0	-623.6	-193.7	42.244	904.120	566.692	595.285
69.479	0.112	SACC	-620.1	-193.7	-1062.8	-262.9	448.096	839.799	436.538	535.254
69.592	0.129	FIXA	-1069.6	-264.5	-926.5	-217.7	150.524	971.769	875.845	819.181
69.721	0.075	SACC	-930.1	-217.6	-1307.9	-252.0	379.277	875.674	875.674	875.674
69.796	0.167	FIXA	-1316.4	-250.9	-1102.2	-157.2	233.799	956.288	592.576	603.248
69.963	0.050	SACC	-1105.3	-156.9	-1207.6	-163.2	102.541	753.137	753.137	753.137
70.013	1.183	FIXA	-1215.2	-164.5	-751.2	-97.9	468.768	996.304	572.442	578.316
71.196	0.083	SACC	-748.8	-95.9	-401.7	-102.5	347.240	737.489	737.489	737.489
71.279	0.121	FIXA	-393.9	-102.3	-345.1	-117.2	51.058	985.667	601.535	655.631
71.400	0.083	SACC	-348.4	-118.6	-658.5	-102.6	310.490	874.238	874.238	874.238
71.483	0.521	FIXA	-659.8	-101.2	-466.3	-107.9	193.618	999.385	460.841	446.475
72.004	0.083	SACC	-468.9	-107.4	-726.5	-122.1	258.049	614.374	614.374	614.374
72.088	0.250	FIXA	-727.8	-122.7	-679.4	-106.2	51.113	997.698	287.436	344.931
72.338	0.100	SACC	-683.3	-106.4	-103.2	-58.4	582.038	922.402	251.989	288.132
72.438	0.425	FIXA	-95.2	-59.4	-78.0	-86.4	32.062	992.207	492.964	589.593
73.338	0.158	FIXA	59.6	-96.6	90.9	-105.9	32.521	831.111	152.364	254.518
73.496	0.087	SACC	87.6	-106.0	-284.8	-87.9	372.899	779.506	779.506	779.506
73.583	0.279	FIXA	-286.4	-88.3	-277.2	-119.3	32.316	978.139	160.133	264.145
73.862	0.058	SACC	-273.4	-119.1	-150.2	-105.3	123.923	922.252	922.252	922.252
73.921	0.054	PURS	-141.1	-104.3	-126.3	-100.4	15.325	922.252	660.679	677.719
73.975	0.083	SACC	-124.5	-100.4	172.7	-94.8	297.305	423.561	423.561	423.561
74.058	0.475	FIXA	181.2	-96.1	292.3	-111.9	112.198	844.051	324.092	387.317
74.533	0.092	SACC	288.7	-110.8	5.6	-96.3	283.470	890.096	890.096	886.323
74.625	0.208	FIXA	5.0	-95.4	2.0	-107.1	11.999	663.116	437.755	389.801
74.833	0.067	SACC	-1.7	-106.9	-152.8	-103.1	151.153	907.573	907.573	907.573
74.900	0.487	FIXA	-161.0	-103.1	-174.7	-96.4	15.226	957.073	359.454	481.020
75.388	0.108	SACC	-178.6	-96.2	238.3	-93.8	416.948	948.616	211.502	338.197
75.496	0.188	FIXA	246.3	-94.1	269.7	-125.1	38.803	874.455	531.561	485.992
75.683	0.079	SACC	272.5	-126.4	536.4	-103.9	264.877	749.319	749.319	749.319
75.763	0.138	FIXA	544.7	-103.1	606.1	-106.5	61.431	936.149	378.451	470.316
75.900	0.104	SACC	603.0	-107.4	-260.4	-127.7	863.696	754.693	754.693	754.693
76.004	0.133	FIXA	-265.2	-123.7	-348.1	-144.3	85.399	998.574	884.913	736.359
76.138	0.083	SACC	-350.7	-144.2	-621.9	-147.0	271.185	633.534	633.534	633.534
76.221	0.088	FIXA	-627.0	-144.0	-617.5	-142.9	9.564	965.404	446.051	530.945
76.308	0.067	SACC	-621.2	-143.4	-772.9	-131.7	152.141	903.124	903.124	903.124
76.375	0.158	FIXA	-780.5	-132.8	-806.2	-176.3	50.606	932.110	490.688	552.482
76.533	0.108	SACC	-809.1	-177.6	-1427.1	-302.2	630.442	750.507	750.507	750.507
76.642	0.162	FIXA	-1433.1	-303.7	-1518.4	-349.5	96.874	985.382	621.935	607.769
76.804	0.138	SACC	-1521.3	-348.7	-155.3	-89.2	1390.459	720.959	720.959	720.959
76.942	0.242	FIXA	-155.8	-88.7	-229.7	-139.3	89.510	916.123	385.812	482.746
77.183	0.092	SACC	-233.6	-138.0	-446.8	-144.3	213.299	976.529	976.529	952.237
77.275	0.054	FIXA	-446.4	-142.4	-431.3	-150.3	17.044	937.977	546.954	534.514
77.329	0.079	SACC	-433.7	-150.9	-675.1	-125.6	242.776	602.882	602.882	602.882
77.408	0.054	FIXA	-681.9	-125.1	-679.8	-142.4	17.393	775.963	604.967	615.709
77.463	0.100	SACC	-682.2	-144.2	-444.2	-108.5	240.700	727.488	309.147	404.517
77.562	0.183	FIXA	-435.2	-106.9	-468.6	-148.3	53.178	945.446	437.047	425.432
77.746	0.071	SACC	-472.5	-148.6	-619.8	-139.8	147.534	940.216	940.216	940.216
77.817	0.163	FIXA	-626.8	-139.9	-606.4	-157.5	26.948	955.187	436.457	487.219
77.979	0.067	SACC	-610.1	-158.4	-766.2	-187.2	158.719	918.639	918.639	918.639
78.046	0.125	FIXA	-774.0	-188.2	-783.3	-177.5	14.242	918.639	311.554	404.628
78.171	0.088	SACC	-787.0	-177.6	-1108.9	-198.1	322.557	914.107	880.474	882.076
78.258	0.221	FIXA	-1109.9	-199.2	-1106.5	-199.3	3.477	977.980	366.395	421.676
78.479	0.096	SACC	-1109.5	-200.4	-1564.4	-284.6	462.656	763.799	763.799	760.635
78.575	0.112	FIXA	-1563.8	-283.8	-1500.7	-269.9	64.638	983.055	441.630	531.950
78.688	0.088	SACC	-1504.6	-269.5	-1834.9	-264.1	330.377	950.346	950.346	932.574
78.775	0.208	FIXA	-1834.0	-263.2	-1772.3	-243.7	64.703	904.186	474.727	490.582
78.983	0.037	SACC	-1775.9	-244.1	-1844.7	-246.6	68.801	870.876	870.876	870.876
79.021	0.171	FIXA	-1853.6	-246.7	-1903.8	-254.4	50.750	980.051	491.835	530.297
79.192	0.088	SACC	-1906.9	-254.4	-2138.6	-286.8	234.015	739.918	739.918	739.918
79.279	0.283	FIXA	-2137.5	-286.7	-2844.0	-401.9	715.815	953.564	499.672	491.579
79.562	0.108	SACC	-2846.6	-398.8	-1794.0	-188.2	1073.443	958.472	958.472	958.472
79.671	0.517	FIXA	-1774.3	-184.4	-2546.8	-394.2	800.448	999.748	726.638	587.771
80.188	0.204	SACC	-2547.8	-398.1	176.9	-124.9	2738.349	948.724	848.209	860.517
80.392	0.146	FIXA	180.6	-131.4	432.3	-269.2	287.027	943.039	671.711	699.801
80.537	0.096	SACC	430.1	-272.3	1321.2	-311.6	891.935	923.911	609.304	623.033
80.633	0.067	FIXA	1342.7	-307.8	1161.6	-228.8	197.574	627.992	609.304	579.090
